,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,std,median
32,"POLYGON Z ((289728.088495819 5130252.797325644 1185.766845703125, 289732.402575409 5130252.571234314 1188.164672851562, 289731.9503927472 5130243.943075135 1179.171020507812, 289727.6363131569 5130244.169166463 1179.004638671875, 289728.088495819 5130252.797325644 1185.766845703125))",Coverage/Quad,User Created Features - Coverage/Quad,33,29471.0,30413.0,29868.79758308157,3310,268.03669563259217,29786.5
33,"POLYGON Z ((289732.402575409 5130252.571234314 1188.164672851562, 289736.7166549991 5130252.345142983 1184.341064453125, 289736.2644723373 5130243.716983804 1179.340942382812, 289731.9503927472 5130243.943075135 1179.171020507812, 289732.402575409 5130252.571234314 1188.164672851562))",Coverage/Quad,User Created Features - Coverage/Quad,34,29725.0,30435.0,30208.484318455972,3316,181.43742851404733,30240.0
34,"POLYGON Z ((289736.7166549991 5130252.345142983 1184.341064453125, 289741.0307345893 5130252.119051653 1179.954223632812, 289740.5785519274 5130243.490892474 1184.7529296875, 289736.2644723373 5130243.716983804 1179.340942382812, 289736.7166549991 5130252.345142983 1184.341064453125))",Coverage/Quad,User Created Features - Coverage/Quad,35,29539.0,30369.0,29866.702319975895,3319,229.24082489288512,29786.0
35,"POLYGON Z ((289741.0307345893 5130252.119051653 1179.954223632812, 289745.3448141793 5130251.892960324 1179.2587890625, 289744.8926315175 5130243.264801141 1178.163940429688, 289740.5785519274 5130243.490892474 1184.7529296875, 289741.0307345893 5130252.119051653 1179.954223632812))",Coverage/Quad,User Created Features - Coverage/Quad,36,29721.0,30504.0,30281.062198067633,3312,177.57628590263752,30355.0
36,"POLYGON Z ((289706.0659152063 5130245.299623118 1178.78759765625, 289710.3799947964 5130245.073531789 1183.480834960938, 289709.9278121344 5130236.445372608 1180.23193359375, 289705.6137325444 5130236.67146394 1177.834228515625, 289706.0659152063 5130245.299623118 1178.78759765625))",Coverage/Quad,User Created Features - Coverage/Quad,37,29603.0,30469.0,30158.899035563594,3318,239.78274975829626,30239.0
37,"POLYGON Z ((289710.3799947964 5130245.073531789 1183.480834960938, 289714.6940743866 5130244.847440458 1188.505493164062, 289714.2418917246 5130236.219281277 1187.059204101562, 289709.9278121344 5130236.445372608 1180.23193359375, 289710.3799947964 5130245.073531789 1183.480834960938))",Coverage/Quad,User Created Features - Coverage/Quad,38,29510.0,30530.0,29899.845388788428,3318,319.726364359338,29787.0
38,"POLYGON Z ((289714.6940743866 5130244.847440458 1188.505493164062, 289719.0081539767 5130244.621349127 1179.1162109375, 289718.5559713147 5130235.993189946 1178.317749023438, 289714.2418917246 5130236.219281277 1187.059204101562, 289714.6940743866 5130244.847440458 1188.505493164062))",Coverage/Quad,User Created Features - Coverage/Quad,39,29566.0,30550.0,30218.805128205127,3315,284.9585707830016,30324.0
39,"POLYGON Z ((289719.0081539767 5130244.621349127 1179.1162109375, 289723.3222335668 5130244.395257796 1179.3603515625, 289722.8700509049 5130235.767098618 1178.058227539062, 289718.5559713147 5130235.993189946 1178.317749023438, 289719.0081539767 5130244.621349127 1179.1162109375))",Coverage/Quad,User Created Features - Coverage/Quad,40,29503.0,30514.0,30064.733554616778,3314,342.75246840142603,30088.0
40,"POLYGON Z ((289723.3222335668 5130244.395257796 1179.3603515625, 289727.6363131569 5130244.169166463 1179.004638671875, 289727.184130495 5130235.541007285 1177.944580078125, 289722.8700509049 5130235.767098618 1178.058227539062, 289723.3222335668 5130244.395257796 1179.3603515625))",Coverage/Quad,User Created Features - Coverage/Quad,41,29584.0,30501.0,30177.364787458548,3317,258.58595474719016,30250.0
41,"POLYGON Z ((289727.6363131569 5130244.169166463 1179.004638671875, 289731.9503927472 5130243.943075135 1179.171020507812, 289731.4982100851 5130235.314915954 1178.094360351562, 289727.184130495 5130235.541007285 1177.944580078125, 289727.6363131569 5130244.169166463 1179.004638671875))",Coverage/Quad,User Created Features - Coverage/Quad,42,29551.0,30436.0,29939.770205066347,3316,274.1547009063115,29897.0
42,"POLYGON Z ((289731.9503927472 5130243.943075135 1179.171020507812, 289736.2644723373 5130243.716983804 1179.340942382812, 289735.8122896752 5130235.088824623 1178.0400390625, 289731.4982100851 5130235.314915954 1178.094360351562, 289731.9503927472 5130243.943075135 1179.171020507812))",Coverage/Quad,User Created Features - Coverage/Quad,43,29806.0,30493.0,30296.21508295626,3315,163.42139188627945,30367.0
43,"POLYGON Z ((289736.2644723373 5130243.716983804 1179.340942382812, 289740.5785519274 5130243.490892474 1184.7529296875, 289740.1263692654 5130234.862733292 1184.978881835938, 289735.8122896752 5130235.088824623 1178.0400390625, 289736.2644723373 5130243.716983804 1179.340942382812))",Coverage/Quad,User Created Features - Coverage/Quad,44,29658.0,30365.0,29870.238310708897,3315,171.84528428175244,29822.0
44,"POLYGON Z ((289740.5785519274 5130243.490892474 1184.7529296875, 289744.8926315175 5130243.264801141 1178.163940429688, 289744.4404488555 5130234.636641963 1177.349731445312, 289740.1263692654 5130234.862733292 1184.978881835938, 289740.5785519274 5130243.490892474 1184.7529296875))",Coverage/Quad,User Created Features - Coverage/Quad,45,29576.0,30501.0,30004.9647271631,3317,301.9579833654715,29975.0
45,"POLYGON Z ((289705.6137325444 5130236.67146394 1177.834228515625, 289709.9278121344 5130236.445372608 1180.23193359375, 289709.4756294725 5130227.817213428 1177.091186523438, 289705.1615498825 5130228.043304757 1176.667358398438, 289705.6137325444 5130236.67146394 1177.834228515625))",Coverage/Quad,User Created Features - Coverage/Quad,46,29709.0,30595.0,30287.010551703348,3317,225.98795968597523,30356.0
46,"POLYGON Z ((289709.9278121344 5130236.445372608 1180.23193359375, 289714.2418917246 5130236.219281277 1187.059204101562, 289713.7897090627 5130227.591122098 1186.791870117188, 289709.4756294725 5130227.817213428 1177.091186523438, 289709.9278121344 5130236.445372608 1180.23193359375))",Coverage/Quad,User Created Features - Coverage/Quad,47,29571.0,30569.0,30041.96647538508,3311,313.7660770318763,29980.0
47,"POLYGON Z ((289714.2418917246 5130236.219281277 1187.059204101562, 289718.5559713147 5130235.993189946 1178.317749023438, 289718.1037886528 5130227.365030767 1177.1064453125, 289713.7897090627 5130227.591122098 1186.791870117188, 289714.2418917246 5130236.219281277 1187.059204101562))",Coverage/Quad,User Created Features - Coverage/Quad,48,29564.0,30571.0,30260.34388185654,3318,276.38004679874325,30373.0
