,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,sum,volume_m3,area_m2
26,"POLYGON Z ((289602.9981233313 5130268.540235905 0, 289607.9950774664 5130268.365738422 0, 289607.6460824994 5130258.371830151 0, 289602.6491283643 5130258.546327635 0, 289602.9981233313 5130268.540235905 0))",Coverage/Quad,User Created Features,32,1.204315185546875,5.194305419921875,3.5000941765729623,4443,15550.918426513672,175.02046604453517,50.000000000347534
27,"POLYGON Z ((289607.9950774664 5130268.365738422 0, 289612.9920316015 5130268.191240938 0, 289612.6430366345 5130258.197332668 0, 289607.6460824994 5130258.371830151 0, 289607.9950774664 5130268.365738422 0))",Coverage/Quad,User Created Features,33,1.567352294921875,5.326324462890625,3.9694732989134835,4439,17620.491973876953,198.31283481906345,50.000000000347534
28,"POLYGON Z ((289612.9920316015 5130268.191240938 0, 289617.9889857366 5130268.016743454 0, 289617.6399907696 5130258.022835184 0, 289612.6430366345 5130258.197332668 0, 289612.9920316015 5130268.191240938 0))",Coverage/Quad,User Created Features,34,2.074981689453125,5.135345458984375,3.8955259746164117,4441,17300.030853271484,194.70615043302124,50.00000000037662
29,"POLYGON Z ((289617.9889857366 5130268.016743454 0, 289622.9859398717 5130267.842245971 0, 289622.6369449046 5130257.848337701 0, 289617.6399907696 5130258.022835184 0, 289617.9889857366 5130268.016743454 0))",Coverage/Quad,User Created Features,35,1.99395751953125,5.330322265625,4.05219532952668,4445,18012.008239746094,202.71922146691594,50.000000000347534
30,"POLYGON Z ((289622.9859398717 5130267.842245971 0, 289627.9828940068 5130267.667748488 0, 289627.6338990398 5130257.673840217 0, 289622.6369449046 5130257.848337701 0, 289622.9859398717 5130267.842245971 0))",Coverage/Quad,User Created Features,36,1.837158203125,5.1566162109375,4.074158216935976,4437,18077.040008544922,203.45113261008456,50.000000000347534
31,"POLYGON Z ((289627.9828940068 5130267.667748488 0, 289632.9798481419 5130267.493251004 0, 289632.6308531748 5130257.499342734 0, 289627.6338990398 5130257.673840217 0, 289627.9828940068 5130267.667748488 0))",Coverage/Quad,User Created Features,37,0.273834228515625,4.96673583984375,3.024381896807845,4444,13440.353149414062,151.2667488502125,50.000000000347534
32,"POLYGON Z ((289632.9798481419 5130267.493251004 0, 289637.976802277 5130267.31875352 0, 289637.62780731 5130257.32484525 0, 289632.6308531748 5130257.499342734 0, 289632.9798481419 5130267.493251004 0))",Coverage/Quad,User Created Features,38,-0.0068359375,4.97564697265625,2.9820684546694847,4445,13255.29428100586,149.18397222531195,50.000000000672564
33,"POLYGON Z ((289582.6613118239 5130259.244317569 0, 289587.658265959 5130259.069820086 0, 289587.3092709919 5130249.075911815 0, 289582.3123168569 5130249.250409299 0, 289582.6613118239 5130259.244317569 0))",Coverage/Quad,User Created Features,41,-0.025482177734375,3.802215576171875,1.7336728068932374,4438,7694.0399169921875,86.59388565380856,50.000000000347534
34,"POLYGON Z ((289587.658265959 5130259.069820086 0, 289592.6552200941 5130258.895322602 0, 289592.3062251271 5130248.901414332 0, 289587.3092709919 5130249.075911815 0, 289587.658265959 5130259.069820086 0))",Coverage/Quad,User Created Features,42,-0.07025146484375,4.470977783203125,2.1212821398681148,4441,9420.613983154297,106.0259082155684,50.000000000347534
35,"POLYGON Z ((289592.6552200941 5130258.895322602 0, 289597.6521742292 5130258.720825118 0, 289597.3031792621 5130248.726916848 0, 289592.3062251271 5130248.901414332 0, 289592.6552200941 5130258.895322602 0))",Coverage/Quad,User Created Features,43,0.1156005859375,4.91973876953125,3.071566439479489,4445,13653.112823486328,153.66128892111425,50.00000000037662
36,"POLYGON Z ((289597.6521742292 5130258.720825118 0, 289602.6491283643 5130258.546327635 0, 289602.3001333972 5130248.552419364 0, 289597.3031792621 5130248.726916848 0, 289597.6521742292 5130258.720825118 0))",Coverage/Quad,User Created Features,44,0.366729736328125,5.016571044921875,3.352770538433155,4441,14889.65396118164,167.5781522385686,50.000000000347534
37,"POLYGON Z ((289602.6491283643 5130258.546327635 0, 289607.6460824994 5130258.371830151 0, 289607.2970875324 5130248.377921881 0, 289602.3001333972 5130248.552419364 0, 289602.6491283643 5130258.546327635 0))",Coverage/Quad,User Created Features,45,1.039154052734375,4.9893798828125,3.517814900496496,4446,15640.205047607422,176.02535756327188,50.000000000347534
38,"POLYGON Z ((289607.6460824994 5130258.371830151 0, 289612.6430366345 5130258.197332668 0, 289612.2940416674 5130248.203424398 0, 289607.2970875324 5130248.377921881 0, 289607.6460824994 5130258.371830151 0))",Coverage/Quad,User Created Features,46,0.368377685546875,5.131134033203125,3.890122809050724,4445,17291.59588623047,194.61121765657043,50.000000000347534
39,"POLYGON Z ((289612.6430366345 5130258.197332668 0, 289617.6399907696 5130258.022835184 0, 289617.2909958026 5130248.028926914 0, 289612.2940416674 5130248.203424398 0, 289612.6430366345 5130258.197332668 0))",Coverage/Quad,User Created Features,47,1.796783447265625,4.990814208984375,3.802595935105364,4437,16872.1181640625,189.8901340256535,50.000000000672564
40,"POLYGON Z ((289617.6399907696 5130258.022835184 0, 289622.6369449046 5130257.848337701 0, 289622.2879499376 5130247.85442943 0, 289617.2909958026 5130248.028926914 0, 289617.6399907696 5130258.022835184 0))",Coverage/Quad,User Created Features,48,1.66900634765625,5.345947265625,3.9149947457288854,4443,17394.321655273438,195.767362360026,50.00000000005159
41,"POLYGON Z ((289622.6369449046 5130257.848337701 0, 289627.6338990398 5130257.673840217 0, 289627.2849040727 5130247.679931947 0, 289622.2879499376 5130247.85442943 0, 289622.6369449046 5130257.848337701 0))",Coverage/Quad,User Created Features,49,1.66815185546875,5.191162109375,3.9301273266975136,4444,17465.48583984375,196.56829182332638,50.000000000347534
42,"POLYGON Z ((289627.6338990398 5130257.673840217 0, 289632.6308531748 5130257.499342734 0, 289632.2818582078 5130247.505434464 0, 289627.2849040727 5130247.679931947 0, 289627.6338990398 5130257.673840217 0))",Coverage/Quad,User Created Features,50,0.140533447265625,4.930816650390625,2.8542351713045133,4437,12664.241455078125,142.531867300471,50.000000000347534
43,"POLYGON Z ((289632.6308531748 5130257.499342734 0, 289637.62780731 5130257.32484525 0, 289637.2788123429 5130247.33093698 0, 289632.2818582078 5130247.505434464 0, 289632.6308531748 5130257.499342734 0))",Coverage/Quad,User Created Features,51,0.135955810546875,4.24493408203125,2.5693481266766813,4444,11418.183074951172,128.50789055343265,49.999999998183156
44,"POLYGON Z ((289582.3123168569 5130249.250409299 0, 289587.3092709919 5130249.075911815 0, 289586.9602760249 5130239.082003545 0, 289581.9633218899 5130239.256501028 0, 289582.3123168569 5130249.250409299 0))",Coverage/Quad,User Created Features,54,0.044219970703125,3.74072265625,1.6111216110445856,4443,7158.213317871094,80.56333372593399,50.00000000005159
45,"POLYGON Z ((289587.3092709919 5130249.075911815 0, 289592.3062251271 5130248.901414332 0, 289591.95723016 5130238.907506062 0, 289586.9602760249 5130239.082003545 0, 289587.3092709919 5130249.075911815 0))",Coverage/Quad,User Created Features,55,0.01910400390625,3.859527587890625,1.6567372633095983,4437,7350.9432373046875,82.73244550408351,50.000000000347534
46,"POLYGON Z ((289592.3062251271 5130248.901414332 0, 289597.3031792621 5130248.726916848 0, 289596.9541842951 5130238.733008577 0, 289591.95723016 5130238.907506062 0, 289592.3062251271 5130248.901414332 0))",Coverage/Quad,User Created Features,56,0.10882568359375,4.512786865234375,2.4933876223010483,4444,11080.61459350586,124.70866845451317,50.000000000672564
47,"POLYGON Z ((289597.3031792621 5130248.726916848 0, 289602.3001333972 5130248.552419364 0, 289601.9511384302 5130238.558511094 0, 289596.9541842951 5130238.733008577 0, 289597.3031792621 5130248.726916848 0))",Coverage/Quad,User Created Features,57,1.957061767578125,4.794891357421875,3.651036082423809,4443,16221.553314208984,182.5682408685635,50.00000000005159
48,"POLYGON Z ((289602.3001333972 5130248.552419364 0, 289607.2970875324 5130248.377921881 0, 289606.9480925653 5130238.384013611 0, 289601.9511384302 5130238.558511094 0, 289602.3001333972 5130248.552419364 0))",Coverage/Quad,User Created Features,58,0.26092529296875,4.76617431640625,3.1917694621401003,4437,14161.881103515625,159.3873083777906,50.000000000633314
49,"POLYGON Z ((289607.2970875324 5130248.377921881 0, 289612.2940416674 5130248.203424398 0, 289611.9450467004 5130238.209516128 0, 289606.9480925653 5130238.384013611 0, 289607.2970875324 5130248.377921881 0))",Coverage/Quad,User Created Features,59,0.281158447265625,4.720672607421875,3.6610063697859556,4446,16276.83432006836,183.19041038572993,50.00000000005159
50,"POLYGON Z ((289612.2940416674 5130248.203424398 0, 289617.2909958026 5130248.028926914 0, 289616.9420008355 5130238.035018644 0, 289611.9450467004 5130238.209516128 0, 289612.2940416674 5130248.203424398 0))",Coverage/Quad,User Created Features,60,2.108001708984375,5.072540283203125,3.7604014937361967,4443,16707.463836669922,188.03700379076236,49.999999998183156
51,"POLYGON Z ((289617.2909958026 5130248.028926914 0, 289622.2879499376 5130247.85442943 0, 289621.9389549706 5130237.86052116 0, 289616.9420008355 5130238.035018644 0, 289617.2909958026 5130248.028926914 0))",Coverage/Quad,User Created Features,61,0.842803955078125,5.297607421875,3.968477780729841,4442,17627.978302001953,198.39709097689692,49.99999999818316
52,"POLYGON Z ((289622.2879499376 5130247.85442943 0, 289627.2849040727 5130247.679931947 0, 289626.9359091057 5130237.686023677 0, 289621.9389549706 5130237.86052116 0, 289622.2879499376 5130247.85442943 0))",Coverage/Quad,User Created Features,62,1.518798828125,5.255950927734375,4.073455735025309,4445,18106.5107421875,203.7828160126548,50.00000000005159
53,"POLYGON Z ((289627.2849040727 5130247.679931947 0, 289632.2818582078 5130247.505434464 0, 289631.9328632408 5130237.511526193 0, 289626.9359091057 5130237.686023677 0, 289627.2849040727 5130247.679931947 0))",Coverage/Quad,User Created Features,63,0.407135009765625,4.677001953125,3.0492080169423366,4439,13535.434387207031,152.33685687175833,50.000000000347534
54,"POLYGON Z ((289632.2818582078 5130247.505434464 0, 289637.2788123429 5130247.33093698 0, 289636.9298173759 5130237.33702871 0, 289631.9328632408 5130237.511526193 0, 289632.2818582078 5130247.505434464 0))",Coverage/Quad,User Created Features,64,-0.023956298828125,4.170196533203125,2.690624733434932,4442,11951.755065917969,134.51306760896267,50.000000000347534
55,"POLYGON Z ((289581.9633218899 5130239.256501028 0, 289586.9602760249 5130239.082003545 0, 289586.6112810579 5130229.088095275 0, 289581.6143269228 5130229.262592758 0, 289581.9633218899 5130239.256501028 0))",Coverage/Quad,User Created Features,67,-0.0059814453125,4.264007568359375,1.5913253008541737,4446,7075.032287597656,79.62715862133693,50.000000000347534
